Category	Keyword	Web_Page_URL	Tweet_Website	Author_Name	Author_Web_Page_URL	Tweet_Timestamp	Tweet_Content	Tweet_Image_URL	Tweet_Video_URL	Tweet_AD	Tweet_Number_of_Reviews	Tweet_Number_of_Retweets	Retweets	Tweet_Number_of_Likes	Likes	Tweet_Number_of_Looks	looks	Impressions
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LiliesHome_/status/1730777136984961158	Lilies Home	https://twitter.com/LiliesHome_	12/2/23	Lisa Instagram has surpassed 99.2M followers. Only 800K more to 100M!Congratulations LISA Please engage IG: lalalalisa_m#丽莎 #ラリサ #리사#LISA #LALISA #MONEY #SG	https://pbs.twimg.com/media/GAT0oSHaMAAQkKm?format=jpg&name=small	https://twitter.com/LiliesHome_/status/1730777136984961158	FALSE	2	780	780	1.8K	18000	32K	32000	18,780.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/TeamLisaPH/status/1729908938517442913	TEAM LISA PH	https://twitter.com/TeamLisaPH	11/29/23	Lisa’s side profile looks so good #LISA #LALISA #MONEY #SG #SHOONG	https://pbs.twimg.com/media/GAHfAnWakAI87tD?format=jpg&name=small;https://pbs.twimg.com/media/GAHfAnYa8AA4IkV?format=jpg&name=small	https://twitter.com/TeamLisaPH/status/1729908938517442913	FALSE	3	1.4K	14000	4K	4000	50K	50000	18,000.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/Lalisa_Tiktok/status/1730340573805183182	LALISA's Tiktok Updates	https://twitter.com/Lalisa_Tiktok	11/30/23	#Lisa's (@GettyImages - HD) - during the UEFA Champions League match between PSG and Newcastle United FC at Parc des Princes on Nov.28, 2023 in Paris. -currently viral on #Tiktok. @PSG_English @psgkorea #블랙핑크리사 블랙핑크 리사 #LALISA #MONEY #LILIFILM	https://pbs.twimg.com/media/GANnk91boAAQuP-?format=jpg&name=small	https://twitter.com/Lalisa_Tiktok/status/1730340573805183182	FALSE	3	629	629	1.7K	17000	24K	24000	17,629.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LISAonSpotify/status/1730790476763050457	Lisa On Spotify | Fan Account	https://twitter.com/LISAonSpotify	12/2/23	#MONEY by #LISA (1.066B) has now surpassed ‘abcdefu’ by GAYLE (1.065B) on Spotify It becomes the 10th most streamed song by a female soloist released in 2021	https://pbs.twimg.com/media/GAUAw5QXcAEp_NH?format=jpg&name=360x360;https://pbs.twimg.com/media/GAUAw5ZWwAApzKv?format=jpg&name=360x360	https://twitter.com/LISAonSpotify/status/1730790476763050457	FALSE	2	624	624	1.7K	17000	43K	43000	17,624.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LaliceUpdates/status/1731153495368311085	LALICE UPDATES	https://twitter.com/LaliceUpdates		.@BLACKPINK #LISA '#MONEY' auto generated audio has now surpassed 180M views on @YouTube. (The most viewed auto-generated audio by a K-pop Soloist) https://youtu.be/4YSHPGn9-LM?si=BfnroCBEsk7AiH2A…#블랙핑크리사 블랙핑크 리사#리사 #LALISA	https://pbs.twimg.com/media/GAZDDgZaAAAjZKU?format=jpg&name=small	https://twitter.com/LaliceUpdates/status/1731153495368311085	FALSE	2	655	655	1.6K	16000	24K	24000	16,655.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LaliceUpdates/status/1731178861772365845	LALICE UPDATES	https://twitter.com/LaliceUpdates	12/3/23	Top 50 Most-Searched K-pop IDOLS on Google Worldwide (November 2023): *Overall:#2 #LISA (@BLACKPINK)*K-pop Female Idols:#1 #LISA - (@BLACKPINK) c/o GoogleTrends_K https://trends.google.com/trends/explore?cat=3&date=2023-11-01%202023-11-30&q=%2Fg%2F11b764275p,%2Fg%2F11c1p4b_sm,%2Fg%2F11b90f_7zx,%2Fm%2F0zb47xz,%2Fm%2F0xs92nk&hl=en…#블랙핑크리사 블랙핑크 리사#리사 #LALISA #MONEY	https://pbs.twimg.com/media/GAZh_tXbYAArqS5?format=jpg&name=small	https://twitter.com/LaliceUpdates/status/1731178861772365845	FALSE	15	1.3K	13000	3K	3000	60K	60000	16,000.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/Malik_Manoban/status/1731671784985129163	Z ⁰¹¹² | ⁰³²⁷	https://twitter.com/Malik_Manoban	12/4/23	YOU LOOK SO DAMN FINE #LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAgiT5ObcAAMV8r?format=jpg&name=small	https://twitter.com/Malik_Manoban/status/1731671784985129163	FALSE	4	362	362	1.3K	13000	17K	17000	13,362.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LiliesHome_/status/1730056927869370744	Lilies Home	https://twitter.com/LiliesHome_	11/30/23	Lisa Instagram has surpassed 99.1M followers. Only 900K more to 100M!Congratulations LISA Please engage IG: lalalalisa_m#丽莎 #ラリサ #리사#LISA #LALISA #MONEY #SG	https://pbs.twimg.com/media/GAJlmn8bYAAASdh?format=jpg&name=small	https://twitter.com/LiliesHome_/status/1730056927869370744	FALSE	3	526	526	1.2K	12000	23K	23000	12,526.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/tnta_05/status/1729705824627421274	𝓛𝓲𝓵𝓲𝓮𝓼 ♡𝓛𝓲𝓼𝓪	https://twitter.com/tnta_05	11/29/23	#LISA is currently trending after her photos were taken by Getty Images at the UEFA Champions League soccer match in Paris #LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAEmR3iaAAEbEXJ?format=jpg&name=small	https://twitter.com/tnta_05/status/1729705824627421274	FALSE	6	469	469	1.2K	12000	22K	22000	12,469.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LISAonSpotify/status/1729893272791794026	Lisa On Spotify | Fan Account	https://twitter.com/LISAonSpotify	11/29/23	With 460M streams, #MONEY by #LISA (2021) has now surpassed ‘Ditto’ (2022) It becomes the 3rd most streamed song by a K-pop female act in 2023. 5th overall	https://pbs.twimg.com/media/GAHQwx6WMAEbh-W?format=jpg&name=small;https://pbs.twimg.com/media/GAHQwxeWIAAYhOP?format=jpg&name=240x240	https://twitter.com/LISAonSpotify/status/1729893272791794026	FALSE	6	422	422	1.2K	12000	23K	23000	12,422.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/Doralovelisa/status/1732406848387743898	ดอร่า แอคนางฟ้าตัวจริง	https://twitter.com/Doralovelisa	12/6/23	คิดถึงอีกแล้ววววว #LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAq-12ObkAAxb1J?format=jpg&name=360x360;https://pbs.twimg.com/media/GAq-12RbgAAMs3a?format=jpg&name=360x360	https://twitter.com/Doralovelisa/status/1732406848387743898	FALSE		366	366	1.2K	12000	18K	18000	12,366.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/Malik_Manoban/status/1731211005215297571	Z ⁰¹¹² | ⁰³²⁷ ReloadLEXA	https://twitter.com/Malik_Manoban	12/3/23	Why is this video 3 hours long? #LISA #LALISA #MONEY		https://twitter.com/Malik_Manoban/status/1731211005215297571	FALSE		333	333	1.2K	12000	18K	18000	12,333.00
TopPost	#stocks	https://twitter.com/search?q=#stocks&src=typed_query&f=top	https://twitter.com/RICHTVLIVE/status/1729875537504735299	Rich TV LiveReload	https://twitter.com/RICHTVLIVE	11/29/23	Autonomous Security Robots (ASRs) Leading us into the future Knightscope Inc. (NASDAQ: KSCP) #AutonomousVehicles #robots #ai #stocks #pennystocks #NASDAQ #richtv http://richtv.io		https://twitter.com/RICHTVLIVE/status/1729875537504735299	FALSE	36	105	105	1.1K	11000	67K	67000	11,105.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LiliesHome_/status/1732222125564624998	Lilies Home	https://twitter.com/LiliesHome_	12/6/23	Lisa Instagram has surpassed 99.3M followers. Only 700K more to 100M!Congratulations LISA Please engage IG: lalalalisa_m#丽莎 #ラリサ #리사#LISA #LALISA #MONEY #SG	https://pbs.twimg.com/media/GAoW1traAAABU0I?format=jpg&name=small	https://twitter.com/LiliesHome_/status/1732222125564624998	FALSE	5	926	926	2K	2000	31K	31000	2,926.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/sulisweetie/status/1730019599754911797	LILISweetie	https://twitter.com/sulisweetie	11/30/23	PSG เลือกปก special guest ได้แบบรู้เลยว่าปักโพนุเน้ก ทำไวป์ IG โดยรวมสดใสมาก รอยยิ้มลิซ่าคือวิตามินดึงดูดคนสุด.#LISA #리사 #LALISA #MONEY	https://pbs.twimg.com/media/GAJDh9taQAAlHrZ?format=jpg&name=small;https://pbs.twimg.com/media/GAJDh9qa0AARhzE?format=jpg&name=small	https://twitter.com/sulisweetie/status/1730019599754911797	FALSE	1	593	593	1K	1000	26K	26000	1,593.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/jessieX999/status/1729891749118755245	Jess	https://twitter.com/jessieX999	11/29/23	แย่งซีน MAMA ข้ามประเทศกันเลยทีเดียว จนป่านนี้ยังเอาไม่ลง อิทธิพลของจริง#LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAHPX3kaIAAtTHi?format=jpg&name=360x360;https://pbs.twimg.com/media/GAHPX4WbYAAANDQ?format=jpg&name=360x360	https://twitter.com/jessieX999/status/1729891749118755245	FALSE	4	517	517	1K	1000	27K	27000	1,517.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LISAonSpotify/status/1729865053372039443	Lisa On Spotify | Fan Account	https://twitter.com/LISAonSpotify	11/29/23	#MONEY by #LISA is now the longest-charting song on Top10 (371 days) on Spotify Thailand ever #LISA – #MONEY – 371*ฝนตกไหม – 363 คิด(แต่ไม่)ถึง (Same Page?) – 3324 #LALISA – 244*	https://pbs.twimg.com/media/GAG3F_saUAAV2tq?format=jpg&name=small	https://twitter.com/LISAonSpotify/status/1729865053372039443	FALSE	1	486	486	1K	1000	24K	24000	1,486.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/TeamLisaPH/status/1731659161874927928	TEAM LISA PH	https://twitter.com/TeamLisaPH	12/4/23	2023 is a historic year for us as #LISA’s #MONEY reached 1 BILLION streams on Spotify LILIES and BLINKs, did you stream with us? We spent hundreds of thousands of minutes this year on one of our Spotify accounts alone listening to our Lisa, from #LALISA and MONEY to her…	https://pbs.twimg.com/media/GAgW0yLbYAAVWUd?format=jpg&name=small;https://pbs.twimg.com/media/GAgW0yNbcAA1OOy?format=jpg&name=360x360;https://pbs.twimg.com/media/GAgW0yLaAAAN3Df?format=jpg&name=360x360	https://twitter.com/TeamLisaPH/status/1731659161874927928	FALSE	8	381	381	1K	1000	23K	23000	1,381.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LISAonSpotify/status/1729863105583476870	Lisa On Spotify | Fan Account	https://twitter.com/LISAonSpotify	11/29/23	#MONEY by #LISA (2021) was the 2nd most listened to song on Spotify Thailand 2023 3rd consecutive year on the list and only K-pop female soloist song	https://pbs.twimg.com/media/GAG1UsHXYAASeGW?format=jpg&name=small	https://twitter.com/LISAonSpotify/status/1729863105583476870	FALSE	4	397	397	984	984	17K	17000	1,381.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LISAonSpotify/status/1730279939155390964	Lisa On Spotify | Fan Account	https://twitter.com/LISAonSpotify	11/30/23	Despite being released more than 2 years ago, #MONEY by #LISA is, for a 2nd consecutive year, the most streamed song by a K-pop female soloist on Spotify	https://pbs.twimg.com/media/GAMwbylWgAAvx_S?format=jpg&name=small	https://twitter.com/LISAonSpotify/status/1730279939155390964	FALSE	7	401	401	972	972	26K	26000	1,373.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LALISA_twts/status/1730805703604883674	LISA's Updates |	https://twitter.com/LALISA_twts	12/2/23	#MONEY by #LISA (1.066B) has now entered the Top 10 Most Streamed songs released in 2021 by female artists globally surpassing GAYLE's “abcdefu” (1.065B). — She joined Olivia Rodrigo, Doja Cat, Adele, and Billie Eilish in the Top 10.	https://pbs.twimg.com/media/GAUOnKmX0AAgwBd?format=jpg&name=360x360;https://pbs.twimg.com/media/GAUOnXzXcAAFRdC?format=jpg&name=360x360	https://twitter.com/LALISA_twts/status/1730805703604883674	FALSE		329	329	1K	1000	17K	17000	1,329.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/Malik_Manoban/status/1731671263125688541	Z ⁰¹¹² | ⁰³²⁷	https://twitter.com/Malik_Manoban	12/4/23	My love with Love the gentle giant in France #LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAgh07uakAATS_d?format=jpg&name=360x360;https://pbs.twimg.com/media/GAgh1OXaEAA-wFO?format=jpg&name=360x360;https://pbs.twimg.com/media/GAgh1gpbMAA4g-i?format=jpg&name=360x360	https://twitter.com/Malik_Manoban/status/1731671263125688541	FALSE		317	317	1K	1000	12K	12000	1,317.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/ffomkp/status/1729695386057465990	Mrs.R	https://twitter.com/ffomkp	11/29/23	แค่เห็นว่าลิซ่าใช้ชีวิตอย่างมีความสุข เราก็สบายใจล้ะ ยิ้มเยอะๆนะ #LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAEcyDvaIAAbcu-?format=jpg&name=small	https://twitter.com/ffomkp/status/1729695386057465990	FALSE		375	375	884	884	16K	16000	1,259.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/Malik_Manoban/status/1731766538959757805	Z ⁰¹¹² | ⁰³²⁷	https://twitter.com/Malik_Manoban	12/4/23	This genre of Lisa #LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAh4fGAbkAAfsrZ?format=jpg&name=360x360;https://pbs.twimg.com/media/GAh4fUvbMAAIMWc?format=jpg&name=small	https://twitter.com/Malik_Manoban/status/1731766538959757805	FALSE	2	253	253	1K	1000	12K	12000	1,253.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/lalalisiousm/status/1730287553146712281	cleo	https://twitter.com/lalalisiousm	11/30/23	they eliminated but here it is, Lisa being the queen. another year and with music from 2 years ago. #LALISA #MONEY #리사 #LISA	https://pbs.twimg.com/media/GAM3W1jXEAAZEME?format=jpg&name=small	https://twitter.com/lalalisiousm/status/1730287553146712281	FALSE	2	248	248	1K	1000	20K	20000	1,248.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/LiliesHome_/status/1729889801401430121	Lilies Home	https://twitter.com/LiliesHome_	11/29/23	Thank you Lisa for existing. We love you always.#LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAHNmiPbAAA7ifr?format=jpg&name=small;https://pbs.twimg.com/media/GAHNmxnbcAAAyEX?format=jpg&name=360x360	https://twitter.com/LiliesHome_/status/1729889801401430121	FALSE	3	339	339	908	908	14K	14000	1,247.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/lalalisiousm/status/1729688026761064817	cleo	https://twitter.com/lalalisiousm	11/29/23	Lisa very casual on a soccer game, talking on her cell phone and she looks spectacular in gettyimages SHES PERFECT #LALISA #MONEY #리사 #LISA	https://pbs.twimg.com/media/GAEWFyUXcAEIMgP?format=jpg&name=small	https://twitter.com/lalalisiousm/status/1729688026761064817	FALSE		219	219	906	906	16K	16000	1,125.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/Malik_Manoban/status/1730134693239247011	Z ⁰¹¹² | ⁰³²⁷	https://twitter.com/Malik_Manoban	11/30/23	Girl I'm stuck looking at these photos #LISA #LALISA #MONEY #SG #SHOONG	https://pbs.twimg.com/media/GAKsVH0bYAAwWEq?format=jpg&name=360x360;https://pbs.twimg.com/media/GAKsVaWbwAAvZhw?format=jpg&name=small	https://twitter.com/Malik_Manoban/status/1730134693239247011	FALSE	2	239	239	881	881	12K	12000	1,120.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/sulisweetie/status/1729686811792802045	LILISweetie	https://twitter.com/sulisweetie	11/29/23	ชอตเผลอคือรอดหมด ซุปตาร์ท่านหนึ่งน่ารักเว่อๆ#LISA #리사 #LALISA #MONEY	https://pbs.twimg.com/media/GAEU-qcagAAo-ab?format=jpg&name=small	https://twitter.com/sulisweetie/status/1729686811792802045	FALSE	1	327	327	742	742	14K	14000	1,069.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/tnta_05/status/1732605615598600610	𝓛𝓲𝓵𝓲𝓮𝓼 ♡𝓛𝓲𝓼𝓪Reload	https://twitter.com/tnta_05	12/7/23	OMG!!! Lisa's name tattoo #LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAtzn1Ja0AAT6k6?format=jpg&name=small;https://pbs.twimg.com/media/GAtzoARawAAlLKS?format=jpg&name=small	https://twitter.com/tnta_05/status/1732605615598600610	FALSE	3	247	247	820	820	14K	14000	1,067.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/tnta_05/status/1731708712170225684	𝓛𝓲𝓵𝓲𝓮𝓼 ♡𝓛𝓲𝓼𝓪	https://twitter.com/tnta_05	12/4/23	New Ambassador of CELINE: LOVE MANOBAL#LISA #LALISA #MONEY#LOVEXCELINE	https://pbs.twimg.com/media/GAhD5ZHa8AARg0D?format=jpg&name=small	https://twitter.com/tnta_05/status/1731708712170225684	FALSE	3	196	196	832	832	14K	14000	1,028.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/kookiigz/status/1729724322971795730	KK³²⁷	https://twitter.com/kookiigz	11/29/23	ไม่เชียร์บอลแล้ว เป็นเราจะเชียร์ลิซ่าแทน ลิซ่าชนะทุกสิ่ง #LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAE3GSnaAAAMddl?format=jpg&name=small	https://twitter.com/kookiigz/status/1729724322971795730	FALSE	2	286	286	727	727	14K	14000	1,013.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/jessieX999/status/1729998201330303385	Jess	https://twitter.com/jessieX999	11/29/23	ตั้งแต่บ่ายเมื่อวาน จนเช้าวันนี้ ใครก็เอาชีไม่ลง รอดูผลงานลิซ่าต่อไปได้เลย เว่ยป๋อ นี่แค่รูปไม่กี่รูป ดูบอลไปสวยๆ#LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAIwMT1aMAAkryz?format=jpg&name=small;https://pbs.twimg.com/media/GAIwMT1bIAAO4Xv?format=jpg&name=360x360	https://twitter.com/jessieX999/status/1729998201330303385	FALSE		351	351	621	621	14K	14000	972.00
TopPost	#stocks	https://twitter.com/search?q=#stocks&src=typed_query&f=top	https://twitter.com/WealthEnrich/status/1731633500124815487	Advait Arora	https://twitter.com/WealthEnrich	12/4/23	20 Mid & Large cap #stocks that have not run up too much & are looking like VALUE Buys at CMP :1. Aegis Logistics ₹ 363.002. Fine Organic ₹ 4280.003. Tanla Platforms ₹919.204. Akzo Nobel ₹ 2463.105. Bayer Crop ₹ 5310.006. Aditya AMC ₹ 452.357. Gujarat Gas ₹ 442.30…		https://twitter.com/WealthEnrich/status/1731633500124815487	FALSE	25	141	141	828	828	214K	214000	969.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/Annieca27/status/1729876178251780188	LISAYAA327	https://twitter.com/Annieca27	11/29/23	วันนี้มีความสุขมาก กดรี กดแฟ้บจนมือจะหงิก นั่งยิ้มคนเดียวทั้งวัน ลูกสาวสร้างเรื่องเลย เอนเกจฉ่ำมากกก#LISA #LALISA #MONEY	https://pbs.twimg.com/media/GAHBNitb0AAXkoq?format=jpg&name=small	https://twitter.com/Annieca27/status/1729876178251780188	FALSE		313	313	606	606	10K	10000	919.00
TopPost	#money	https://twitter.com/search?q=#money&src=typed_query&f=top	https://twitter.com/lalisamgger/status/1729883094742876205	ra ra girl³²⁷	https://twitter.com/lalisamgger	11/29/23	#MONEY is part of the list of Top Throwbacks 2023 on Spotify	https://pbs.twimg.com/media/GAHHgQlaoAAvFFX?format=jpg&name=360x360;https://pbs.twimg.com/media/GAHHgQfasAAgs5w?format=jpg&name=900x900	https://twitter.com/lalisamgger/status/1729883094742876205	FALSE	2	209	209	708	708	9.6K	96000	917.00
